E2101 :  08/02/2013 17:13:23, unknown         , localhost                     , Could not connect to log database 
E2101 :  16/02/2013 02:21:04, unknown         , localhost                     , Could not connect to log database 
E2101 :  17/02/2013 18:47:55, unknown         , localhost                     , Could not connect to log database 
E2101 :  26/02/2013 00:06:49, unknown         , localhost                     , Could not connect to log database 
E2101 :  26/02/2013 00:19:28, unknown         , localhost                     , Could not connect to log database 
E2101 :  26/02/2013 00:19:33, unknown         , localhost                     , Could not connect to log database 
E2101 :  26/02/2013 00:22:08, unknown         , localhost                     , Could not connect to log database 
E2101 :  26/02/2013 00:28:17, unknown         , localhost                     , Could not connect to log database 
E2101 :  26/02/2013 00:28:35, unknown         , localhost                     , Could not connect to log database 
E2101 :  26/02/2013 00:32:01, unknown         , localhost                     , Could not connect to log database 
E2101 :  26/02/2013 00:32:14, unknown         , localhost                     , Could not connect to log database 
E2101 :  26/02/2013 00:32:48, unknown         , localhost                     , Could not connect to log database 
E2101 :  26/02/2013 00:32:50, unknown         , localhost                     , Could not connect to log database 
E2101 :  26/02/2013 00:32:51, unknown         , localhost                     , Could not connect to log database 
E2101 :  26/02/2013 00:33:54, unknown         , localhost                     , Could not connect to log database 
E2101 :  26/02/2013 15:46:30, unknown         , localhost                     , Could not connect to log database 
E2101 :  27/02/2013 22:13:54, unknown         , localhost                     , Could not connect to log database 
E2101 :  27/02/2013 22:50:18, unknown         , 10.0.2.2                      , Could not connect to log database 
E2101 :  27/02/2013 23:01:45, unknown         , 10.0.2.2                      , Could not connect to log database 
E2101 :  27/02/2013 23:07:54, unknown         , 10.0.2.2                      , Could not connect to log database 
E2101 :  27/02/2013 23:11:55, unknown         , 10.0.2.2                      , Could not connect to log database 
E2101 :  27/02/2013 23:14:16, unknown         , 10.0.2.2                      , Could not connect to log database 
E2101 :  27/02/2013 23:17:13, unknown         , 10.0.2.2                      , Could not connect to log database 
E2101 :  27/02/2013 23:18:34, unknown         , 10.0.2.2                      , Could not connect to log database 
E2101 :  27/02/2013 23:26:02, unknown         , 10.0.2.2                      , Could not connect to log database 
E2101 :  27/02/2013 23:33:08, unknown         , 10.0.2.2                      , Could not connect to log database 
E2101 :  27/02/2013 23:42:16, unknown         , 10.0.2.2                      , Could not connect to log database 
E2101 :  27/02/2013 23:44:13, unknown         , 10.0.2.2                      , Could not connect to log database 
E2101 :  27/02/2013 23:49:02, unknown         , 10.0.2.2                      , Could not connect to log database 
E2101 :  28/02/2013 23:04:37, unknown         , localhost                     , Could not connect to log database 
E2101 :  08/03/2013 02:16:07, unknown         , localhost                     , Could not connect to log database 
